1-1,1-2,1-3,1-4,2-1,2-2,2-3,2-4,3-1,3-2,4-1,4-2,4-3,4-4,5-1,5-2,6-1,7-1
,,,,149.481,,,,337.064,,,462.973,,558.345,,629.938,716.352,
,,,,149.961,,,,337.620,,,463.539,,558.821,,630.349,716.940,
,,,,150.441,,,,338.176,,,464.105,,559.297,,630.760,717.528,
,,,,150.921,,,,338.732,,,464.671,,559.773,,631.171,718.116,
,,,,151.401,,,,339.288,,,465.237,,560.249,,631.582,718.704,
,,,,151.881,,,,339.844,,,465.803,,560.725,,631.993,719.292,
,,,,152.361,,,,340.400,,,466.369,,561.201,,632.404,719.880,
,,,,152.841,,,,340.956,,,466.935,,561.677,,632.815,720.468,
,,,,153.321,,,,341.512,,,467.501,,562.153,,633.226,721.056,
,,,,153.801,,,,342.068,,,468.067,,562.629,,633.637,721.644,
,,,,154.281,,,,342.624,,,468.633,,563.105,,634.048,722.232,
,,,,154.761,,,,343.180,,,469.199,,563.581,,634.459,722.820,
,,,,155.241,,,,343.736,,,469.765,,564.057,,634.870,723.408,
,,,,155.721,,,,344.292,,,470.331,,564.533,,635.281,723.996,
,,,,156.201,,,,344.848,,,470.897,,565.009,,635.692,724.584,
,,,,156.681,,,,345.404,,,471.463,,,,636.103,725.172,
,,,,157.161,,,,345.960,,,472.029,,,,636.514,725.760,
,,,,157.641,,,,346.516,,,472.595,,,,636.925,726.348,
,,,,158.121,,,,347.072,,,473.161,,,,637.336,726.936,
,,,,158.601,,,,347.628,,,473.727,,,,637.747,727.524,
,,,,159.081,,,,348.184,,,474.293,,,,638.158,728.112,
,,,,159.561,,,,348.740,,,474.859,,,,638.569,728.700,
,,,,160.041,,,,349.296,,,475.425,,,,638.980,729.288,
,,,,160.521,,,,349.852,,,475.991,,,,639.391,729.876,
,,,,161.001,,,,350.408,,,476.557,,,,639.802,730.464,
,,,,161.481,,,,350.964,,,477.123,,,,640.213,731.052,
,,,,161.961,,,,351.520,,,477.689,,,,640.624,731.640,
,,,,162.441,,,,352.076,,,478.255,,,,641.035,732.228,
,,,,162.921,,,,352.632,,,478.821,,,,641.446,732.816,
,,,,163.401,,,,353.188,,,479.387,,,,641.857,733.404,
,,,,163.881,,,,353.744,,,479.953,,,,642.268,733.992,
,,,,164.361,,,,354.300,,,480.519,,,,642.679,734.580,
,,,,164.841,,,,354.856,,,481.085,,,,643.090,735.168,
,,,,165.321,,,,355.412,,,481.651,,,,643.501,735.756,
,,,,165.801,,,,355.968,,,482.217,,,,643.912,736.344,
,,,,166.281,,,,356.524,,,482.783,,,,644.323,736.932,
,,,,166.761,,,,357.080,,,483.349,,,,644.734,737.520,
,,,,167.241,,,,357.636,,,483.915,,,,645.145,738.108,
,,,,167.721,,,,358.192,,,484.481,,,,645.556,738.696,
,,,,168.201,,,,358.748,,,485.047,,,,645.967,739.284,
,,,,168.681,,,,359.304,,,485.613,,,,646.378,739.872,
,,,,169.161,,,,359.860,,,486.179,,,,646.789,740.460,
,,,,169.641,,,,360.416,,,486.745,,,,647.200,741.048,
